"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"Ristrutturazione e completamento rete idrica","Comune di Trebisacce(CS)","COMUNE DI TREBISACCE","COMUNE DI TREBISACCE","286.165,52","286.165,52","47.872,05","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"EC05 - Ricostruzione della spiaggia a Sud del torrente Varco nel","Comune di Cariati(CS)","COMUNE DI CARIATI","COMUNE DI CARIATI","1.242.083,93","1.242.083,93","452.545,93","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"EC39 - Ricostruzione e stabilizzazione del litorale nel Comune d","Comune di San Lucido(CS)","COMUNE DI SAN LUCIDO","COMUNE DI SAN LUCIDO","678.590,66","678.590,66","180.722,40","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"EC40 - Ricostruzione e protezione del litorale del Comune di Fus","Comune di Fuscaldo(CS)","COMUNE DI FUSCALDO","COMUNE DI FUSCALDO","1.409.757,86","1.409.757,86","1.183.457,06","Programma Operativo FESR  2007/2013","Azioni per la messa in sicurezza di aree a rischio di erosione costiera e per il ripascimento e la  ricostituzione delle spiagge."
"SC 1-2 - Consolidamento e restauro del castello Svevo-Aragonese,","Comune di Rocca Imperiale(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","500.000,00","500.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC28 - Consolidamento e restauro del Castello di Rocca Imperiale","Comune di Rocca Imperiale(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","800.000,00","800.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 1-5 - Valorizzazione Patrimonio Paleontologico delle grotte ","Comune di Cassano Allo Ionio(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.500.000,00","2.500.000,00","516.408,79","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 1-6 - Valorizzazione dei Beni Architettonici e Archeologici ","Comune di Cassano Allo Ionio(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","835.324,00","835.324,00","818.532,64","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"ITR31-1 - Riqualificazione della piazza di accesso al santuario ","Comune di Paola(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","399.262,00","399.262,00","212.079,20","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC19 - Cstello di San Michele - Acquisizione del complesso monum","Comune di Santa Maria Del Cedr(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.317.985,25","1.317.985,25","110.950,86","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC27 - Lavori di ristrutturazione Castello Medievale","Comune di Oriolo(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","300.000,00","300.000,00","84.889,75","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA23-1 - Area archeologica di Sibari. Azioni preparatoprie per ","Comune di Cassano Allo Ionio(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","800.000,00","800.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA23-2 - Valorizzazione del patrimonio culturale grotte di Sant","Comune di Cassano Allo Ionio(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","599.122,23","599.122,23","29.286,25","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"04-PISO - Realizzazione Museo dell Alimentazione","Comune di Altomonte(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","424.560,70","424.560,70","418.896,76","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"07-PISO - Recupero Castello della zona antistante","Comune di Morano Calabro(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.284.078,43","1.284.078,43","673.304,16","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"AI 1 - Recupero antica fornace Aletti","Comune di Trebisacce(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","659.476,69","659.476,69","614.774,18","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"ITR  1 - Riqualificazione del complesso monastico di Santa Maria","Comune di Rossano(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","300.000,00","300.000,00","90.000,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC 11 - Recupero cinta muraria e torrioni: messa in sicurezza e ","Comune di Cariati(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","433.506,35","433.506,35","127.532,61","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC 14 - Restauro e consolidamento Castello Aragonese","Comune di Castrovillari(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","500.000,00","500.000,00","136.784,97","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 12-1 - Valorizzazione area archeologica Laos Marcelina","Comune di Santa Maria Del Cedr(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","402.668,85","402.668,85","21.804,50","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 12-2 - Ampliamento e valorizzazione dell area archeologica d","Comune di Santa Maria Del Cedr(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","510.000,00","510.000,00","305.736,22","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 14 - Valorizzazione area archeologica localit� Chiane, Imbel","Comune di Serra D'Aiello(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","407.477,72","407.477,72","403.758,04","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 18 - Analisi dei siti preistorici dell area della Sila Grand","Comune di Spezzano Della Sila(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","510.000,00","510.000,00","379.944,29","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 19 - Prospezioni, rilievi, saggi e interventi urgenti negli ","Comune di Pietrapaola(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","300.000,00","300.000,00","90.000,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SPA 20 - Consolidamento e restauro statico della cinta muraria e","Comune di Paludi(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","500.000,00","500.000,00","76.573,85","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"APQ (SC8-2)- Recupero e consolidamento del Castello Pietramala","Comune di Cleto(CS)","COMUNE DI CLETO","COMUNE DI CLETO","1.525.218,95","1.525.218,95","897.356,17","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"APQ (SC9-2) -  Rec. funz. e rest. cons. Castello Svevo-Normanno","Comune di Cosenza(CS)","COMUNE DI COSENZA","COMUNE DI COSENZA","3.000.000,00","3.000.000,00","144.740,80","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"PIT  9 - Cons. restauro e rifunzionalizz. Complesso abbaziale","Comune di San Giovanni In Fiore(CS)","COMUNE DI S.GIOVANNI IN FIORE","COMUNE DI S.GIOVANNI IN FIORE","1.750.000,00","1.750.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"PIT  8 - Restauro Duomo di Cosenza - Comune di Cosenza","Comune di Cosenza(CS)","COMUNE DI COSENZA","COMUNE DI COSENZA","700.000,00","700.000,00","210.000,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"PIT  4 - Completamento del recupero del Castello Federiciano","Comune di Rocca Imperiale(CS)","COMUNE DI ROCCA IMPERIALE","COMUNE DI ROCCA IMPERIALE","518.520,00","518.520,00","246.855,53","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"Risanamento bacino  idrografico fiume Oliva","Comune di Aiello Calabro(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.500.000,00","1.500.000,00","47.953,38","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Sistemazione fluviale in alveo della fiumara di Aieta","Comune di Aieta(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","221.000,00","221.000,00","150.076,06","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Opere di bonifica di suoli inquinati torrente Celle","Comune di Buonvicino(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","75.000,00","75.000,00","73.360,10","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Bonifica dei torrenti: Corvino, Aurora, Salice, Vaccuta, S Vince","Comune di Diamante(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","277.000,00","277.000,00","168.682,55","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Tutela e risanamento ambientale  Torrente Trappeto","Comune di Fuscaldo(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","332.000,00","331.999,99","89.926,56","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Bonifica e riqualificazione ambientale di aree demaniali","Comune di Grisolia(CS)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","370.000,00","370.000,00","302.024,40","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
